date,holiday_name,is_early_close,close_time_et
2024-01-01,New Year's Day,false,
2024-01-15,Dr. Martin Luther King Jr. Day,false,
2024-02-19,Presidents' Day,false,
2024-03-29,Good Friday,false,
2024-05-27,Memorial Day,false,
2024-06-19,Juneteenth National Independence Day,false,
2024-07-03,Day Before Independence Day,true,13:00
2024-07-04,Independence Day,false,
2024-09-02,Labor Day,false,
2024-11-28,Thanksgiving,false,
2024-11-29,Day After Thanksgiving,true,13:00
2024-12-24,Christmas Eve,true,13:00
2024-12-25,Christmas,false,
2025-01-01,New Year's Day,false,
2025-01-09,Special Non-Trading Day,false,
2025-01-20,Dr. Martin Luther King Jr. Day,false,
2025-02-17,Presidents' Day,false,
2025-04-18,Good Friday,false,
2025-05-26,Memorial Day,false,
2025-06-19,Juneteenth National Independence Day,false,
2025-07-03,Day Before Independence Day,true,13:00
2025-07-04,Independence Day,false,
2025-09-01,Labor Day,false,
2025-11-27,Thanksgiving,false,
2025-11-28,Day After Thanksgiving,true,13:00
2025-12-24,Christmas Eve,true,13:00
2025-12-25,Christmas,false,
2026-01-01,New Year's Day,false,
2026-01-19,Dr. Martin Luther King Jr. Day,false,
2026-02-16,Presidents' Day,false,
2026-04-03,Good Friday,false,
2026-05-25,Memorial Day,false,
2026-06-19,Juneteenth National Independence Day,false,
2026-07-03,Independence Day,false,
2026-09-07,Labor Day,false,
2026-11-26,Thanksgiving,false,
2026-11-27,Day After Thanksgiving,true,13:00
2026-12-24,Christmas Eve,true,13:00
2026-12-25,Christmas,false,
2027-01-01,New Year's Day,false,
2027-01-18,Dr. Martin Luther King Jr. Day,false,
2027-02-15,Presidents' Day,false,
2027-03-26,Good Friday,false,
2027-05-31,Memorial Day,false,
2027-06-18,Juneteenth National Independence Day,false,
2027-07-05,Independence Day,false,
2027-09-06,Labor Day,false,
2027-11-25,Thanksgiving,false,
2027-11-26,Day After Thanksgiving,true,13:00
2027-12-24,Christmas,false,
2028-01-01,New Year's Day,false,
2028-01-17,Dr. Martin Luther King Jr. Day,false,
2028-02-21,Presidents' Day,false,
2028-04-14,Good Friday,false,
2028-05-29,Memorial Day,false,
2028-06-19,Juneteenth National Independence Day,false,
2028-07-03,Day Before Independence Day,true,13:00
2028-07-04,Independence Day,false,
2028-09-04,Labor Day,false,
2028-11-23,Thanksgiving,false,
2028-11-24,Day After Thanksgiving,true,13:00
2028-12-25,Christmas,false,
2029-01-01,New Year's Day,false,
2029-01-15,Dr. Martin Luther King Jr. Day,false,
2029-02-19,Presidents' Day,false,
2029-03-30,Good Friday,false,
2029-05-28,Memorial Day,false,
2029-06-19,Juneteenth National Independence Day,false,
2029-07-03,Day Before Independence Day,true,13:00
2029-07-04,Independence Day,false,
2029-09-03,Labor Day,false,
2029-11-22,Thanksgiving,false,
2029-11-23,Day After Thanksgiving,true,13:00
2029-12-24,Christmas Eve,true,13:00
2029-12-25,Christmas,false,
2030-01-01,New Year's Day,false,
2030-01-21,Dr. Martin Luther King Jr. Day,false,
2030-02-18,Presidents' Day,false,
2030-04-19,Good Friday,false,
2030-05-27,Memorial Day,false,
2030-06-19,Juneteenth National Independence Day,false,
2030-07-03,Day Before Independence Day,true,13:00
2030-07-04,Independence Day,false,
2030-09-02,Labor Day,false,
2030-11-28,Thanksgiving,false,
2030-11-29,Day After Thanksgiving,true,13:00
2030-12-24,Christmas Eve,true,13:00
2030-12-25,Christmas,false,
2031-01-01,New Year's Day,false,
2031-01-20,Dr. Martin Luther King Jr. Day,false,
2031-02-17,Presidents' Day,false,
2031-04-11,Good Friday,false,
2031-05-26,Memorial Day,false,
2031-06-19,Juneteenth National Independence Day,false,
2031-07-03,Day Before Independence Day,true,13:00
2031-07-04,Independence Day,false,
2031-09-01,Labor Day,false,
2031-11-27,Thanksgiving,false,
2031-11-28,Day After Thanksgiving,true,13:00
2031-12-24,Christmas Eve,true,13:00
2031-12-25,Christmas,false,
2032-01-01,New Year's Day,false,
2032-01-19,Dr. Martin Luther King Jr. Day,false,
2032-02-16,Presidents' Day,false,
2032-03-26,Good Friday,false,
2032-05-31,Memorial Day,false,
2032-06-18,Juneteenth National Independence Day,false,
2032-07-05,Independence Day,false,
2032-09-06,Labor Day,false,
2032-11-25,Thanksgiving,false,
2032-11-26,Day After Thanksgiving,true,13:00
2032-12-24,Christmas,false,
2033-01-01,New Year's Day,false,
2033-01-17,Dr. Martin Luther King Jr. Day,false,
2033-02-21,Presidents' Day,false,
2033-04-15,Good Friday,false,
2033-05-30,Memorial Day,false,
